election_type,province_number,province,district,subdistrict,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,party,votes
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,131,167,ก้าวไกล,32
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,255,375,ก้าวไกล,87
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,520,726,ก้าวไกล,274
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,428,537,ก้าวไกล,175
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,163,202,ก้าวไกล,74
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,244,307,ก้าวไกล,110
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,370,463,ก้าวไกล,139
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,638,926,ก้าวไกล,149
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,283,397,ก้าวไกล,100
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,285,345,ก้าวไกล,0
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,433,560,ก้าวไกล,186
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,383,458,ก้าวไกล,113
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,226,342,ก้าวไกล,82
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,414,540,ก้าวไกล,154
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,698,926,ก้าวไกล,244
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,236,292,ก้าวไกล,95
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,346,436,ก้าวไกล,121
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่สาว,153,199,ก้าวไกล,71
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,427,565,ก้าวไกล,179
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,262,363,ก้าวไกล,90
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,210,250,ก้าวไกล,87
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,238,328,ก้าวไกล,73
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,316,438,ก้าวไกล,116
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,250,368,ก้าวไกล,76
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,256,373,ก้าวไกล,96
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,287,374,ก้าวไกล,105
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,257,300,ก้าวไกล,95
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,467,612,ก้าวไกล,176
