รหัสจังหวัด,จังหวัด,เขต,อำเภอ,ตำบล,หมู่,หมายเลขหน่วยเลือกตั้ง,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,ชื่อพรรค,คะแนน
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,4
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,4,นายสันติ ตันสุหัช,ก้าวอิสระ,2
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,122
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,58
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,7,นายไกร ดาบธรรม,พลังประชารัฐ,24
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,5
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,10
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,2,3,1,นายอดุลย์ บุญใส,ภูมิใจไทย,22
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,2,3,2,นายสมดุลย์ อุตเจริญ,ประชาชน,103
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,2,3,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,3
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,2,3,4,นายสันติ ตันสุหัช,ก้าวอิสระ,5
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,2,3,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,125
